abtclean.csv,buyclean.csv
0,53
0,697
0,193
1,148
1,151
2,426
2,987
2,33
2,394
3,204
3,207
3,725
3,864
3,198
3,866
3,346
3,347
3,710
3,739
3,748
3,749
3,750
3,851
3,1024
3,1025
3,501
3,631
3,897
3,640
3,910
3,1042
3,143
3,817
3,552
3,560
3,309
3,696
3,700
3,967
3,62
3,191
3,192
3,194
3,582
3,583
3,584
3,585
3,586
3,587
4,150
5,1048
5,188
5,791
6,210
7,158
8,372
8,37
8,70
8,216
8,443
9,174
9,144
9,176
9,764
9,765
9,34
9,742
9,743
9,138
10,936
10,174
10,144
10,176
10,387
10,630
10,599
11,144
11,288
11,34
11,35
11,742
11,743
11,620
11,621
11,622
11,171
11,624
11,625
11,174
11,176
11,628
11,629
11,50
11,57
11,449
11,711
11,137
12,204
12,207
12,864
12,726
12,198
12,866
12,346
12,347
12,710
12,739
12,748
12,749
12,750
12,851
12,1024
12,1025
12,501
12,631
12,897
12,640
12,910
12,143
12,817
12,552
12,309
12,696
12,58
12,700
12,967
12,62
12,191
12,192
12,194
12,582
12,583
12,584
12,585
12,586
12,587
13,207
13,864
13,866
13,347
13,582
13,583
13,739
13,748
13,749
13,750
13,851
13,501
13,897
13,640
13,910
13,392
13,817
13,552
13,560
13,309
13,696
13,58
13,967
13,62
13,191
13,192
13,194
13,710
13,198
13,584
13,585
13,586
13,587
14,44
14,333
14,334
14,1055
14,339
14,644
14,56
14,475
14,31
14,32
14,327
14,1039
14,912
14,295
15,333
15,334
15,144
15,1055
15,35
15,424
15,296
15,44
15,172
15,174
15,176
15,50
15,56
15,57
15,912
15,327
16,220
16,832
16,482
17,969
17,762
17,846
17,830
18,414
18,208
19,557
19,39
19,40
20,72
20,48
20,39
20,40
20,74
21,845
21,205
21,55
21,193
22,207
22,725
22,726
22,198
22,727
22,864
22,866
22,346
22,347
22,582
22,736
22,739
22,741
22,712
22,748
22,236
22,750
22,749
22,851
22,1024
22,1025
22,501
22,852
22,897
22,640
22,909
22,910
22,1042
22,392
22,817
22,552
22,560
22,309
22,833
22,696
22,967
22,62
22,191
22,192
22,194
22,710
22,583
22,584
22,585
22,586
22,587
23,1032
23,479
23,1029
24,92
24,179
24,42
24,119
24,90
25,21
25,88
25,235
26,207
26,725
26,864
26,198
26,866
26,346
26,347
26,582
26,739
26,712
26,748
26,236
26,750
26,749
26,851
26,1024
26,1025
26,501
26,897
26,640
26,909
26,910
26,1042
26,392
26,817
26,552
26,558
26,560
26,309
26,833
26,696
26,967
26,62
26,191
26,194
26,710
26,583
26,584
26,585
26,586
26,587
27,590
27,591
27,155
27,156
27,157
27,676
27,41
27,43
27,46
27,47
27,48
27,303
27,52
27,119
27,72
27,74
28,590
28,46
28,47
28,48
28,591
28,303
28,52
28,119
28,155
28,156
28,157
28,72
28,41
28,74
28,43
29,41
29,43
30,41
30,43
31,204
31,794
31,143
31,1025
31,631
31,897
31,700
31,734
31,62
31,192
31,194
31,817
32,144
32,1060
32,34
32,35
32,614
32,742
32,743
32,296
32,620
32,621
32,622
32,174
32,624
32,625
32,626
32,176
32,628
32,629
32,50
32,503
32,504
32,57
32,449
32,711
32,137
32,138
33,1032
33,479
33,1029
33,195
34,80
34,928
34,930
34,151
34,1034
34,159
34,613
34,166
34,201
35,204
35,207
35,725
35,864
35,198
35,866
35,346
35,347
35,710
35,739
35,712
35,748
35,750
35,749
35,851
35,1024
35,1025
35,501
35,631
35,897
35,640
35,908
35,909
35,910
35,1042
35,817
35,552
35,560
35,309
35,833
35,696
35,700
35,967
35,62
35,191
35,192
35,194
35,196
35,582
35,583
35,584
35,585
35,586
35,587
36,225
36,758
36,230
36,40
36,855
37,108
37,175
37,797
37,340
37,341
37,278
37,342
37,248
37,343
37,385
37,784
37,167
37,107
38,653
38,189
38,49
38,581
38,102
38,536
38,652
39,969
39,762
39,970
40,1048
40,794
40,143
40,927
40,725
40,152
40,736
40,200
40,33
40,740
40,105
40,106
40,54
40,899
40,190
40,852
40,202
40,791
41,796
41,797
41,766
41,767
41,1064
41,783
41,784
41,167
42,108
42,796
42,797
42,385
42,783
42,784
42,167
43,108
43,342
43,175
44,207
44,725
44,726
44,864
44,866
44,346
44,347
44,582
44,736
44,583
44,739
44,741
44,712
44,748
44,236
44,750
44,749
44,851
44,501
44,897
44,640
44,817
44,552
44,309
44,833
44,696
44,967
44,191
44,194
44,710
44,198
44,584
44,585
44,586
44,587
45,762
45,278
45,310
45,219
45,903
45,969
45,970
45,1069
45,855
46,350
46,487
46,209
47,647
47,63
47,254
47,79
48,254
48,79
48,63
48,647
48,521
48,869
49,101
49,222
49,230
49,476
50,486
50,55
51,350
51,415
51,312
51,313
52,61
52,256
52,261
53,116
53,300
53,124
54,64
54,242
55,101
55,222
55,230
55,476
56,143
56,1059
56,30
56,105
56,421
56,424
56,490
56,106
57,822
57,105
57,421
57,490
57,539
57,235
58,102
58,94
58,907
58,65
58,387
58,817
